iteration,requests_count,nodes_count,time_limit,dfs_backtrack,dfs_normal,ratio
1,14,8,16,13,13,1.0
2,22,5,12,12,11,1.0909090909090908
3,9,11,26,9,9,1.0
4,18,9,16,14,14,1.0
5,7,15,17,7,7,1.0
6,16,11,16,12,12,1.0
7,2,10,16,2,2,1.0
8,13,3,22,13,13,1.0
9,16,7,22,15,14,1.0714285714285714
10,1,14,16,1,1,1.0
11,26,11,16,15,14,1.0714285714285714
12,24,14,20,17,16,1.0625
13,21,6,23,20,19,1.0526315789473684
14,10,6,14,10,10,1.0
15,13,2,21,13,13,1.0
16,13,11,24,13,13,1.0
17,1,3,12,1,1,1.0
18,24,13,23,20,19,1.0526315789473684
19,24,12,16,14,13,1.0769230769230769
20,25,4,23,20,19,1.0526315789473684
21,3,3,19,3,3,1.0
22,16,5,13,12,11,1.0909090909090908
23,1,15,24,1,1,1.0
24,15,9,17,13,12,1.0833333333333333
25,17,11,17,14,13,1.0769230769230769
26,6,7,20,6,6,1.0
27,17,15,12,10,10,1.0
28,1,6,11,1,1,1.0
29,8,15,24,8,8,1.0
30,9,5,16,9,9,1.0
31,18,5,11,10,9,1.1111111111111112
32,17,4,26,17,17,1.0
33,24,10,25,20,19,1.0526315789473684
34,23,14,22,17,17,1.0
35,1,11,20,1,1,1.0
36,24,11,10,10,9,1.1111111111111112
37,4,6,24,4,4,1.0
38,9,15,10,7,7,1.0
39,6,11,20,6,6,1.0
40,21,5,12,12,12,1.0
41,24,9,15,15,14,1.0714285714285714
42,25,10,14,13,12,1.0833333333333333
43,7,15,16,7,7,1.0
44,10,3,22,10,10,1.0
45,20,14,17,14,13,1.0769230769230769
46,14,9,26,14,14,1.0
47,15,4,21,15,15,1.0
48,24,11,21,18,16,1.125
49,7,14,15,7,7,1.0
50,7,14,12,7,7,1.0
51,10,3,10,9,9,1.0
52,23,2,13,13,12,1.0833333333333333
53,15,9,19,12,12,1.0
54,13,12,11,7,7,1.0
55,26,2,25,22,22,1.0
56,17,10,11,10,9,1.1111111111111112
57,24,3,17,15,14,1.0714285714285714
58,9,5,15,9,9,1.0
59,8,8,16,8,8,1.0
60,1,10,13,1,1,1.0
61,4,10,20,4,4,1.0
62,11,14,10,7,6,1.1666666666666667
63,5,13,15,5,5,1.0
64,24,6,17,16,14,1.1428571428571428
65,23,6,11,11,11,1.0
66,25,14,23,18,16,1.125
67,14,9,17,14,14,1.0
68,20,13,22,17,15,1.1333333333333333
69,7,15,26,7,7,1.0
70,6,11,12,6,6,1.0
71,19,14,21,17,15,1.1333333333333333
72,6,14,20,6,6,1.0
73,9,15,12,8,8,1.0
74,2,7,11,2,2,1.0
75,26,4,11,11,11,1.0
76,10,14,14,10,9,1.1111111111111112
77,4,7,16,4,4,1.0
78,4,10,26,4,4,1.0
79,16,12,21,15,13,1.1538461538461537
80,22,11,20,15,14,1.0714285714285714
81,16,8,11,11,10,1.1
82,13,9,11,9,8,1.125
83,6,9,14,6,6,1.0
84,4,4,16,4,4,1.0
85,11,3,26,11,11,1.0
86,6,6,15,6,6,1.0
87,25,5,25,20,19,1.0526315789473684
88,6,5,14,6,6,1.0
89,21,6,17,16,16,1.0
90,16,14,21,15,14,1.0714285714285714
91,15,8,11,10,10,1.0
92,21,7,21,19,18,1.0555555555555556
93,11,9,13,10,9,1.1111111111111112
94,18,3,10,10,9,1.1111111111111112
95,9,10,19,9,9,1.0
96,6,8,17,6,6,1.0
97,9,6,25,9,9,1.0
98,18,11,17,15,14,1.0714285714285714
99,6,14,23,6,6,1.0
100,6,15,11,6,6,1.0
101,20,14,15,13,12,1.0833333333333333
102,2,8,15,2,2,1.0
103,11,14,20,11,11,1.0
104,15,14,13,10,10,1.0
105,19,4,12,12,12,1.0
106,19,6,23,18,18,1.0
107,10,12,11,8,8,1.0
108,23,11,23,19,18,1.0555555555555556
109,17,14,21,15,14,1.0714285714285714
110,20,5,22,20,19,1.0526315789473684
111,13,11,22,13,13,1.0
112,9,13,21,9,9,1.0
113,15,3,16,13,13,1.0
114,15,15,19,12,11,1.0909090909090908
115,1,6,26,1,1,1.0
116,25,12,24,21,20,1.05
117,15,14,19,12,11,1.0909090909090908
118,2,11,10,2,2,1.0
119,2,13,10,2,2,1.0
120,16,5,16,13,13,1.0
121,9,13,25,9,9,1.0
122,17,13,12,10,9,1.1111111111111112
123,13,8,24,13,13,1.0
124,10,14,14,10,9,1.1111111111111112
125,13,7,18,13,12,1.0833333333333333
126,4,4,13,4,4,1.0
127,6,11,15,6,6,1.0
128,15,4,13,12,12,1.0
129,23,9,21,17,16,1.0625
130,24,9,15,15,14,1.0714285714285714
131,17,9,21,16,14,1.1428571428571428
